Entity,Activity Diagram,Use Case Diagram,Timing Diagram,State Machine Diagram,Interaction Overview Diagram,Communication Diagram,Sequence Diagram,Class Diagram,Object Diagram,Component Diagram,Composite Structure Diagram,Deployment Diagram,Package Diagram,Profile Diagram,Process Diagram,Decision Requirement Diagram,Case Diagram
receiveTask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
sendTask,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sequenceFlow (conditional),0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sequenceFlow (default),1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
sequenceFlow (unconditional),0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
serviceTask,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
signalEndEvent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
signalStartEvent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
startEvent (None) ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
subProcess (collapsed),1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
subProcess (expanded) ,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
task (None) ,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
terminate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
terminateEndEvent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TextAnnotation ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
timerStartEvent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
userTask ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
AnnotactionText,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
Asociaction,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
Authority Requirement,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
